Index, I_out, Q_out
1364, 49885, -21462
1365, 50592, -32241
1366, 42089, -44498
1367, 28424, -54211
1368, 12404, -59507
1369, -3139, -61140
1370, -15801, -58027
1371, -25427, -53119
1372, -29558, -44550
1373, -30679, -33890
1374, -26705, -19426
1375, -18584, -3905
1376, -7742, 10314
1377, 1915, 26501
1378, 11756, 36210
1379, 17976, 40983
1380, 19967, 42514
1381, 20517, 46311
1382, 19963, 52590
1383, 18533, 56670
1384, 14062, 57556
1385, 10865, 56460
1386, 7906, 53373
1387, 5104, 50084
1388, 4178, 47247
1389, 6558, 44507
1390, 9559, 45532
1391, 14861, 46449
1392, 19979, 48489
1393, 23646, 48562
1394, 26429, 50330
1395, 25935, 51337
1396, 24874, 52378
1397, 19413, 52193
1398, 11559, 50580
1399, 7, 46221
1400, -13633, 39824
1401, -26011, 31139
1402, -37489, 23822
1403, -44981, 17014
1404, -49103, 12563
1405, -51309, 9523
1406, -50852, 9416
1407, -49092, 11994
1408, -42023, 16878
1409, -30365, 23487
1410, -17948, 29919
1411, -4655, 36797
1412, 6074, 40962
1413, 13126, 43785
1414, 16608, 45827
1415, 16425, 48438
1416, 13010, 50510
1417, 7063, 50926
1418, -3213, 48236
1419, -15432, 43612
1420, -27279, 35258
1421, -38619, 26461
1422, -46845, 16876
1423, -50588, 8684
1424, -52752, 915
1425, -53051, -5360
1426, -51000, -11631
1427, -46682, -19435
1428, -40464, -24462
1429, -31623, -30661
1430, -21948, -35840
1431, -13033, -40736
1432, -6138, -44584
1433, -1149, -48149
1434, 1159, -51786
1435, 1718, -55303
1436, 429, -59128
1437, -1837, -61607
1438, -6013, -62812
1439, -11624, -62382
1440, -17417, -58423
1441, -22223, -52221
1442, -27101, -43405
1443, -30489, -31974
1444, -31931, -18919
1445, -34755, -8129
1446, -34637, 2852
1447, -35652, 10552
1448, -36628, 14261
1449, -40191, 17636
1450, -43770, 16955
1451, -48797, 15251
1452, -53189, 11424
1453, -56982, 7391
1454, -60629, 4153
1455, -62297, 1316
1456, -62505, 1853
1457, -60855, 4163
1458, -55775, 9577
1459, -47914, 18457
1460, -37037, 28159
1461, -23159, 37554
1462, -9634, 46165
1463, 1560, 50429
1464, 9453, 52357
1465, 14189, 52628
1466, 17682, 52585
1467, 17348, 49436
1468, 15914, 42396
1469, 9908, 28764
1470, 2165, 12803
1471, -5560, -4776
1472, -11584, -20274
1473, -15251, -29135
1474, -17225, -35850
1475, -15774, -38928
1476, -12163, -45428
1477, -5608, -51332
1478, 3333, -51921
1479, 14215, -47411
1480, 26452, -38876
1481, 37357, -30115
1482, 44510, -20554
1483, 48712, -13394
1484, 50514, -8139
1485, 50060, -6050
1486, 48665, -6470
1487, 42227, -8840
1488, 33070, -14828
1489, 21892, -22221
1490, 10290, -30938
1491, -966, -38606
1492, -10194, -43028
1493, -16429, -47555
1494, -20337, -51972
1495, -22561, -56565
1496, -24162, -60601
1497, -24806, -64376
1498, -23987, -66409
1499, -22111, -65806
1500, -19574, -61829
1501, -14937, -54748
1502, -8747, -42822
1503, -2273, -26836
1504, 5017, -12671
1505, 7987, 1200
1506, 13530, 14761
1507, 16616, 26534
1508, 17054, 33687
1509, 14725, 36340
1510, 11965, 39498
1511, 7837, 45641
1512, 1023, 49488
1513, -7460, 48927
1514, -17849, 44410
1515, -27776, 37901
1516, -37534, 29224
1517, -44480, 20925
1518, -48962, 13569
1519, -51597, 7742
1520, -53369, 3141
1521, -53440, 544
1522, -53454, 108
1523, -50495, 1406
1524, -48526, 4064
1525, -45094, 7545
1526, -43300, 11694
1527, -43245, 15475
1528, -43433, 17711
1529, -46380, 19771
1530, -50091, 19847
1531, -54622, 18633
1532, -58529, 17608
1533, -62134, 15983
1534, -63355, 13976
1535, -62809, 12104
1536, -58393, 10539
1537, -48577, 8071
1538, -30653, 5110
1539, -13175, 1727
1540, 6288, -136
1541, 22585, -2870
1542, 34005, -6349
1543, 39444, -8654
1544, 41456, -9033
1545, 45993, -9590
1546, 48927, -10419
1547, 42596, -12392
1548, 27372, -11102
1549, 12102, -8916
1550, -8901, -6650
1551, -24742, -721
1552, -35517, 4448
1553, -42168, 9329
1554, -45837, 11938
1555, -51109, 14842
1556, -58280, 18561
1557, -61824, 22100
1558, -62148, 24417
1559, -60142, 25907
1560, -56243, 23648
1561, -51220, 20136
1562, -46318, 14338
1563, -40193, 6114
1564, -37203, -1922
1565, -34251, -10901
1566, -32413, -20914
1567, -29844, -27605
1568, -26127, -33743
1569, -22371, -38558
1570, -17850, -43097
1571, -11919, -46450
1572, -4986, -49091
1573, 2384, -49335
1574, 10661, -47528
1575, 19039, -44812
1576, 27296, -39940
1577, 34908, -33832
1578, 41429, -25706
1579, 45840, -17102
1580, 49504, -7352
1581, 50872, 2489
1582, 51398, 12523
1583, 49548, 22293
1584, 46882, 31316
1585, 41820, 39458
1586, 34840, 45702
1587, 26072, 50484
1588, 15111, 52499
1589, 2875, 52373
1590, -11071, 49284
1591, -25146, 43136
1592, -36968, 35093
1593, -46409, 26422
1594, -52169, 19011
1595, -54786, 13012
1596, -55145, 8740
1597, -51792, 6366
1598, -44149, 5668
1599, -29686, 6098
1600, -12395, 6827
1601, 3282, 7937
1602, 20918, 8646
1603, 34057, 6913
1604, 41750, 1780
1605, 44913, -3337
1606, 47191, -10117
1607, 48486, -20009
1608, 46212, -32241
1609, 35776, -45758
1610, 22915, -55960
1611, 8435, -62503
1612, -3684, -64310
1613, -13474, -62977
1614, -21975, -58033
1615, -26158, -49652
1616, -26689, -33951
1617, -23344, -13303
1618, -13442, 8190
1619, -3642, 26097
1620, 5609, 41966
1621, 13507, 46987
1622, 16743, 47130
1623, 18923, 47753
1624, 20648, 47352
1625, 19561, 39826
1626, 13398, 21546
1627, 9730, -403
1628, -4610, -21778
1629, -10633, -34857
1630, -15864, -40895
1631, -15790, -43521
1632, -16823, -46354
1633, -16529, -47571
1634, -11812, -44036
1635, -3844, -25684
1636, 6085, -5821
1637, 10489, 13071
1638, 16841, 30472
1639, 18600, 41345
1640, 16465, 44890
1641, 12568, 48187
1642, 6680, 52887
1643, -3469, 55382
1644, -15837, 50230
1645, -30363, 39322
1646, -41701, 26611
1647, -48892, 14663
1648, -52222, 7028
1649, -53714, 2906
1650, -52499, 2530
1651, -48306, 6119
1652, -39640, 12482
1653, -28368, 21706
1654, -15160, 31300
1655, -2514, 39952
1656, 7514, 45286
1657, 14955, 47962
1658, 19256, 49683
1659, 21343, 52417
1660, 21679, 54633
1661, 20533, 55706
1662, 19020, 55732
1663, 15859, 53262
1664, 12970, 50816
1665, 10187, 48032
1666, 9165, 45735
1667, 8243, 44862
1668, 11303, 45406
1669, 12820, 46924
1670, 15399, 48387
1671, 18382, 49446
1672, 19105, 50798
1673, 20026, 51536
1674, 18578, 51830
1675, 15870, 50960
1676, 10776, 48632
1677, 2748, 45633
1678, -6032, 39650
1679, -16700, 34646
1680, -26545, 28668
1681, -35179, 22126
1682, -40821, 16953
1683, -45479, 12464
1684, -49210, 9443
1685, -52678, 6848
1686, -54868, 5543
1687, -55828, 5459
1688, -54613, 5773
1689, -53414, 7254
1690, -52272, 10017
1691, -49754, 12344
1692, -48849, 14710
1693, -46621, 16626
1694, -46095, 18737
1695, -46884, 19603
1696, -47688, 20272
1697, -48697, 19786
1698, -49917, 18697
1699, -50713, 16943
1700, -51021, 14318
1701, -51052, 11206
1702, -49600, 6880
1703, -47147, 762
1704, -42710, -5463
1705, -37680, -12796
1706, -30511, -20253
1707, -24288, -28175
1708, -17975, -34846
1709, -12434, -40986
1710, -8408, -45952
1711, -4826, -50778
1712, -3443, -55765
1713, -1859, -60089
1714, -1792, -63729
1715, -3418, -65219
1716, -6393, -64923
1717, -10638, -63269
1718, -16275, -57299
1719, -20911, -48752
1720, -25956, -37140
1721, -30850, -23427
1722, -33624, -9713
1723, -36241, 1333
1724, -36978, 10351
1725, -38121, 15128
1726, -40697, 17488
1727, -44054, 16152
1728, -46014, 12059
1729, -47395, 4161
1730, -48135, -5460
1731, -46508, -16723
1732, -42509, -28403
1733, -36961, -38425
1734, -29019, -45627
1735, -19880, -50446
1736, -10068, -52997
1737, 1995, -52525
1738, 13940, -48829
1739, 25688, -42005
1740, 36094, -32949
1741, 44109, -25021
1742, 48773, -16833
1743, 50564, -11063
1744, 50374, -7959
1745, 48470, -7849
1746, 43375, -10785
1747, 34590, -16589
1748, 23613, -24030
1749, 12347, -31240
1750, 1899, -38724
1751, -6490, -43107
1752, -12475, -45315
1753, -14531, -47691
1754, -14784, -49626
1755, -12465, -50544
1756, -5617, -48938
1757, 3311, -43577
1758, 14225, -36718
1759, 26294, -28563
1760, 36744, -20765
1761, 44634, -13508
1762, 50388, -7552
1763, 54088, -2873
1764, 57303, 708
1765, 61235, 2516
1766, 62794, 2622
1767, 63352, 1905
1768, 61376, -1676
1769, 56990, -5587
1770, 52112, -12205
1771, 45544, -19586
1772, 37903, -26281
1773, 29473, -33337
1774, 21866, -39099
1775, 14837, -44271
1776, 8260, -47848
1777, 1620, -49966
1778, -4666, -51731
1779, -10848, -50715
1780, -18100, -47763
1781, -25694, -42570
1782, -32853, -33845
1783, -38483, -23191
1784, -44176, -12164
1785, -45967, -1019
1786, -47573, 8203
1787, -47599, 14652
1788, -48731, 19507
1789, -48085, 21687
1790, -48803, 21404
1791, -48675, 19436
1792, -48713, 16269
1793, -49312, 12348
1794, -48758, 8713
1795, -49389, 7239
1796, -48651, 5513
1797, -49173, 7612
1798, -50009, 10873
1799, -50794, 15013
1800, -51518, 20287
1801, -50990, 24745
1802, -50960, 27921
1803, -50747, 28000
1804, -50406, 26331
1805, -49642, 20426
1806, -47620, 11858
1807, -44946, -710
1808, -40571, -15317
1809, -35231, -29257
1810, -29568, -40866
1811, -23986, -47905
1812, -19371, -52016
1813, -15130, -53924
1814, -11095, -53108
1815, -6987, -46380
1816, -3256, -32899
1817, 1369, -15168
1818, 5274, 3270
1819, 8104, 21936
1820, 10171, 33544
1821, 11793, 41051
1822, 11400, 41658
1823, 10580, 44983
1824, 10834, 47748
1825, 9979, 43330
1826, 7936, 30133
1827, 4856, 13341
1828, 1181, -3794
1829, -1343, -19996
1830, -5861, -33175
1831, -9605, -41042
1832, -10413, -44924
1833, -12548, -52390
1834, -14955, -62643
1835, -17781, -66280
1836, -19987, -67505
1837, -21589, -66064
1838, -21192, -61614
1839, -19036, -54000
1840, -14522, -45722
1841, -7497, -35656
1842, -58, -26193
1843, 9096, -21475
1844, 17593, -18093
1845, 26227, -16002
1846, 33388, -14501
1847, 38390, -13796
1848, 43836, -13942
1849, 48708, -14047
1850, 52275, -15237
1851, 54824, -15927
1852, 55456, -16736
1853, 54994, -17408
1854, 54271, -17749
1855, 51710, -17322
1856, 48945, -15559
1857, 46470, -12369
1858, 44358, -7978
1859, 42389, -2808
1860, 41436, 3754
1861, 39719, 11895
1862, 37694, 20078
1863, 34509, 28126
1864, 29009, 35408
1865, 22397, 42362
1866, 14767, 47548
1867, 4798, 51368
1868, -5764, 52927
1869, -17160, 52362
1870, -28298, 49382
1871, -38261, 43371
1872, -46632, 35515
1873, -52478, 26746
1874, -54887, 15637
1875, -54048, 5545
1876, -51039, -7247
1877, -43654, -18966
1878, -34096, -28405
1879, -24732, -36412
1880, -15104, -42065
1881, -8854, -44964
1882, -5703, -45913
1883, -5596, -46464
1884, -9365, -44421
1885, -16399, -40944
1886, -26308, -35885
1887, -36675, -27927
1888, -45575, -19145
1889, -51906, -10246
1890, -54780, -2125
1891, -56358, 4452
1892, -55100, 11662
1893, -48682, 18216
1894, -37694, 24070
1895, -20773, 26440
1896, -1092, 24939
1897, 16272, 19094
1898, 32217, 13047
1899, 41802, 3806
1900, 46480, -4927
1901, 47953, -14048
1902, 48413, -24422
1903, 45950, -36441
1904, 39300, -46730
1905, 27856, -55966
1906, 13414, -61162
1907, -388, -62886
1908, -12052, -61572
1909, -21890, -55347
1910, -27571, -45676
1911, -30077, -32792
1912, -28016, -16429
1913, -21843, 926
1914, -11580, 15795
1915, -2402, 29598
1916, 7159, 37546
1917, 13820, 41517
1918, 18529, 41701
1919, 22910, 44330
1920, 27855, 44892
1921, 32347, 41838
1922, 34926, 32943
1923, 35799, 22016
1924, 37291, 9837
1925, 39218, -1530
1926, 40113, -11890
1927, 42523, -18654
1928, 46109, -22413
1929, 50228, -23953
1930, 54977, -23862
1931, 59507, -22576
1932, 62788, -20925
1933, 64252, -17936
1934, 63869, -15340
1935, 59258, -12448
1936, 49409, -8787
1937, 31959, -5712
1938, 16014, -1967
1939, -280, 1776
1940, -10848, 2129
1941, -25131, 5566
1942, -36273, 8299
1943, -39872, 9619
1944, -42581, 11296
1945, -45664, 13389
1946, -47609, 17829
1947, -44231, 22669
1948, -37824, 27540
1949, -27049, 32695
1950, -14732, 38421
1951, -2913, 42204
1952, 8007, 45170
1953, 16309, 47692
1954, 22003, 49490
1955, 26249, 52984
1956, 27864, 55997
1957, 28684, 59806
1958, 27637, 62037
1959, 25259, 63038
1960, 21537, 61610
1961, 16266, 57351
1962, 8347, 47275
1963, -471, 33393
1964, -9136, 18185
1965, -15049, 3384
1966, -19030, -10867
1967, -20951, -23513
1968, -19659, -33083
1969, -15700, -38403
1970, -10610, -42690
1971, -4251, -47166
1972, 3532, -50105
1973, 14291, -49745
1974, 24734, -45874
1975, 33777, -38985
1976, 41261, -30526
1977, 46273, -21793
1978, 48279, -14249
1979, 47326, -6998
1980, 43384, -1581
1981, 37085, 2653
1982, 26499, 5672
1983, 14250, 7259
1984, 1345, 7746
1985, -9237, 6005
1986, -25056, 7700
1987, -37286, 7544
1988, -43841, 8198
1989, -49488, 8312
