Index, I_out, Q_out
320, -64515, 18444
321, -53677, 13834
322, -35884, 6653
323, -16962, -673
324, 378, -5720
325, 16881, -14430
326, 31112, -18028
327, 38777, -19908
328, 39283, -17303
329, 42361, -14408
330, 48002, -11059
331, 49692, -3320
332, 45292, 6869
333, 36206, 19393
334, 24632, 31156
335, 14473, 40145
336, 7056, 45814
337, 3999, 49531
338, 3930, 50705
339, 8921, 50213
340, 17139, 46364
341, 28333, 38819
342, 41549, 26321
343, 50601, 13163
344, 55958, 594
345, 57653, -8851
346, 56571, -15617
347, 54120, -20117
348, 47826, -22992
349, 33580, -21494
350, 13466, -16117
351, -8217, -7118
352, -26360, 2587
353, -38009, 9643
354, -43394, 15574
355, -44411, 16475
356, -46546, 16984
357, -47708, 16455
358, -41501, 13344
359, -25013, 5989
360, -4475, -4884
361, 13403, -8723
362, 30217, -15113
363, 40541, -17342
364, 43549, -15720
365, 47002, -11946
366, 52167, -7104
367, 54784, 2297
368, 50211, 14327
369, 40652, 27433
370, 27790, 38145
371, 17124, 46916
372, 8061, 50764
373, 3732, 52583
374, 2537, 52266
375, 4882, 49391
376, 9985, 43407
377, 19043, 31931
378, 28288, 20954
379, 38689, 7793
380, 45318, -3785
381, 48403, -12670
382, 50749, -18639
383, 53758, -22460
384, 56056, -25344
385, 58270, -27102
386, 58833, -26985
387, 57521, -25687
388, 54327, -22691
389, 49673, -17287
390, 46465, -11565
391, 41660, -4877
392, 37622, 2452
393, 34819, 9430
394, 31859, 16691
395, 30353, 23550
396, 27035, 29971
397, 23557, 35360
398, 19980, 40964
399, 15701, 45767
400, 10535, 50945
401, 6314, 54430
402, 1890, 56517
403, -1390, 57905
404, -3187, 57923
405, -2759, 57535
406, 276, 55735
407, 5863, 53390
408, 13533, 48952
409, 23259, 42212
410, 33206, 35183
411, 41404, 26909
412, 48844, 20055
413, 52954, 13137
414, 55989, 5593
415, 57115, -1175
416, 55748, -9880
417, 50204, -19123
418, 40693, -29078
419, 28242, -38378
420, 14158, -45153
421, 754, -49763
422, -9000, -51121
423, -15745, -51553
424, -18935, -51177
425, -19001, -50926
426, -15060, -47996
427, -5714, -41769
428, 5700, -33748
429, 19550, -24852
430, 31899, -17660
431, 42028, -11133
432, 46530, -8090
433, 49460, -7409
434, 50496, -8820
435, 49164, -14081
436, 44173, -21692
437, 32610, -30950
438, 18348, -39835
439, 4951, -46254
440, -7452, -49340
441, -14710, -50121
442, -19163, -50037
443, -19019, -50213
444, -15558, -48714
445, -8110, -43243
446, 4066, -33850
447, 16617, -23976
448, 29505, -16385
449, 39703, -9833
450, 45741, -6950
451, 48836, -6806
452, 51324, -8713
453, 51489, -13453
454, 48716, -22774
455, 40247, -33241
456, 27820, -42949
457, 12776, -49984
458, -905, -53856
459, -13684, -54299
460, -23447, -52155
461, -31309, -47961
462, -38015, -42071
463, -43309, -33654
464, -46481, -23004
465, -47490, -10831
466, -46907, 995
467, -45330, 10878
468, -43510, 18425
469, -42702, 23444
470, -43243, 25042
471, -44954, 24826
472, -46637, 22731
473, -49399, 18378
474, -51735, 14771
475, -52800, 11945
476, -53893, 8671
477, -53366, 6970
478, -52045, 7128
479, -50287, 8517
480, -48596, 11110
481, -46597, 13746
482, -45001, 16555
483, -43311, 18863
484, -42662, 19307
485, -43746, 19052
486, -45145, 16753
487, -48511, 13900
488, -52320, 9899
489, -54659, 6062
490, -57474, 3505
491, -58610, 775
492, -58917, 821
493, -58318, 3348
494, -55235, 8208
495, -50291, 15910
496, -42232, 24446
497, -31319, 33409
498, -20570, 42418
499, -9716, 47104
500, -458, 50736
501, 6536, 52604
502, 11193, 52603
503, 15506, 51090
504, 17531, 46329
505, 17678, 36039
506, 14491, 22063
507, 10482, 7996
508, 5009, -6742
509, -1087, -20979
510, -5986, -30359
511, -11434, -38479
512, -13828, -41859
513, -15650, -47840
514, -15884, -54092
515, -17092, -59596
516, -17588, -60424
517, -17247, -61294
518, -16303, -58952
519, -15598, -56067
520, -13346, -51036
521, -12007, -46700
522, -10434, -42844
523, -9549, -40139
524, -8227, -38047
525, -8687, -38088
526, -8068, -39440
527, -9544, -41439
528, -10378, -43870
529, -11689, -47425
530, -12957, -50603
531, -14408, -54081
532, -15956, -56403
533, -17433, -58791
534, -19133, -61415
535, -19134, -61172
536, -20045, -59964
537, -18815, -56693
538, -16199, -50014
539, -10637, -38995
540, -4019, -24426
541, 2883, -11020
542, 7529, 3824
543, 13966, 17471
544, 17629, 28353
545, 18359, 35449
546, 15774, 38584
547, 12544, 44003
548, 6072, 50233
549, -2592, 52618
550, -13128, 51701
551, -25013, 47453
552, -36239, 38938
553, -45802, 28626
554, -51396, 18480
555, -54884, 9256
556, -54354, 40
557, -51155, -8751
558, -46027, -17158
559, -37670, -23920
560, -28699, -30436
561, -18764, -35244
562, -10849, -39019
563, -6441, -41114
564, -3967, -43786
565, -5058, -46956
566, -7810, -50701
567, -12599, -53496
568, -18059, -54803
569, -22988, -56082
570, -25948, -55481
571, -26897, -55390
572, -23767, -53179
573, -17894, -51369
574, -6363, -45281
575, 6375, -38921
576, 21417, -31509
577, 35084, -24076
578, 45401, -18215
579, 49756, -14088
580, 53090, -11740
581, 53727, -10304
582, 50893, -9402
583, 41708, -10344
584, 24421, -10089
585, 7295, -9896
586, -14524, -7805
587, -29667, -3883
588, -38350, 1737
589, -42852, 6615
590, -45330, 11939
591, -47449, 18406
592, -48576, 27503
593, -42753, 36907
594, -31607, 45287
595, -18244, 51264
596, -5177, 53650
597, 6937, 53747
598, 16085, 51714
599, 22660, 47127
600, 25364, 40619
601, 26086, 31359
602, 22168, 19128
603, 15712, 4965
604, 7260, -6490
605, 1480, -18269
606, -6229, -31748
607, -12977, -40365
608, -16046, -44958
609, -18100, -50136
610, -19607, -56909
611, -20757, -65373
612, -21937, -69409
613, -22396, -70769
614, -21192, -69411
615, -19986, -63695
616, -15659, -52446
617, -8373, -34999
618, -179, -16359
619, 6025, -1922
620, 10572, 9310
621, 18650, 25210
622, 22096, 35304
623, 20995, 37983
624, 17474, 41091
625, 12840, 44991
626, 5294, 48461
627, -6474, 46732
628, -19852, 40984
629, -32769, 32617
630, -42607, 24179
631, -50334, 17253
632, -53191, 12148
633, -53938, 9418
634, -52550, 9505
635, -46120, 12604
636, -34370, 17988
637, -19241, 23771
638, -4595, 29679
639, 8085, 36280
640, 17521, 40073
641, 20743, 41989
642, 20033, 45287
643, 15360, 49071
644, 6595, 50654
645, -6578, 49526
646, -22295, 43828
647, -36884, 37059
648, -48400, 28750
649, -54640, 19405
650, -56828, 12577
651, -55473, 6127
652, -48904, 733
653, -34224, -4168
654, -17026, -8368
655, 3838, -9716
656, 23680, -11662
657, 38090, -10921
658, 45331, -10260
659, 45358, -8624
660, 47081, -7682
661, 50056, -6771
662, 42929, -5576
663, 26424, -3876
664, 8000, -476
665, -10152, -489
666, -28803, 3152
667, -41089, 6991
668, -44044, 9140
669, -47324, 9197
670, -53384, 11267
671, -62226, 13644
672, -63646, 16394
673, -60910, 17829
674, -56767, 19347
675, -50929, 18765
676, -45081, 17330
677, -42698, 14988
678, -40573, 11682
679, -42336, 9224
680, -44317, 6518
681, -47127, 5480
682, -50296, 4954
683, -52399, 6072
684, -54357, 7834
685, -53901, 11248
686, -51779, 15660
687, -48438, 21569
688, -40317, 27635
689, -30914, 33572
690, -20650, 38286
691, -9713, 42277
692, -70, 44935
693, 8793, 46133
694, 15853, 47363
695, 20937, 47929
696, 24672, 48554
697, 26893, 49896
698, 27535, 50921
699, 27476, 51655
700, 24871, 52181
701, 21570, 52498
702, 16199, 51782
703, 8698, 51218
704, 1813, 48663
705, -6954, 45244
706, -15981, 40321
707, -24600, 35273
708, -32277, 30024
709, -38818, 23914
710, -43617, 17408
711, -46734, 11634
712, -48467, 5874
713, -48990, -472
714, -47253, -7030
715, -43972, -13004
716, -39029, -18735
717, -31514, -24888
718, -23880, -31445
719, -17014, -37880
720, -10291, -43644
721, -4701, -47839
722, -1160, -52520
723, 1305, -57138
724, 2007, -61213
725, 985, -64492
726, -1394, -66704
727, -5875, -67061
728, -11769, -63152
729, -18655, -55499
730, -26866, -44531
731, -32881, -29428
732, -38054, -12763
733, -40437, 1689
734, -41137, 12255
735, -41135, 19357
736, -41651, 22551
737, -43442, 21246
738, -45063, 15579
739, -45311, 6047
740, -44509, -6537
741, -40847, -21197
742, -36520, -35294
743, -31181, -45162
744, -25262, -51289
745, -19106, -54775
746, -13623, -54535
747, -8224, -50202
748, -1452, -39494
749, 5535, -22529
750, 10332, -1197
751, 12879, 14504
752, 15593, 32114
753, 15610, 42580
754, 13991, 44118
755, 11396, 46139
756, 8846, 47112
757, 4257, 44066
758, -246, 30763
759, -8763, 14028
760, -10412, -7164
761, -14196, -25797
762, -14196, -36484
763, -13218, -43473
764, -10192, -45715
765, -5276, -51095
766, 1016, -55608
767, 9963, -55241
768, 18731, -49030
769, 30124, -39642
770, 38773, -26605
771, 45511, -15793
772, 49442, -6743
773, 51757, -938
774, 53646, 3020
775, 55215, 4369
776, 55959, 3512
777, 55570, 993
778, 54414, -2894
779, 53184, -7909
780, 51468, -13391
781, 48508, -18503
782, 46883, -21999
783, 45722, -24180
784, 44886, -25990
785, 45067, -26783
786, 46960, -26632
787, 47856, -23898
788, 49325, -20234
789, 49443, -15190
790, 50323, -8574
791, 49944, -353
792, 47075, 8444
793, 43736, 18577
794, 38399, 28223
795, 33157, 36316
796, 26743, 42387
797, 19623, 47294
798, 12949, 50151
799, 4458, 50488
800, -3178, 49053
801, -11566, 44718
802, -20481, 38413
803, -28806, 30737
804, -36057, 21417
805, -40515, 14595
806, -44479, 8806
807, -47109, 6787
808, -49930, 6201
809, -52458, 6979
