Index, I_out, Q_out
1364, -18491, 31155
1365, 17275, 12101
1366, 18685, 5397
1367, 35181, 1863
1368, 43735, -5452
1369, 46677, -12687
1370, 45281, -20246
1371, 45348, -29879
1372, 41665, -43161
1373, 28855, -54029
1374, 11960, -60031
1375, -3384, -60693
1376, -16405, -58982
1377, -25682, -54379
1378, -32496, -49115
1379, -35105, -40325
1380, -36274, -27819
1381, -31936, -8397
1382, -9239, 16591
1383, 1158, 12845
1384, 7319, 25541
1385, 14257, 35301
1386, 18735, 40642
1387, 19841, 42572
1388, 19008, 46952
1389, 17881, 53333
1390, 14133, 57924
1391, 10614, 58291
1392, 7343, 57026
1393, 5586, 53666
1394, 4171, 50170
1395, 6354, 47004
1396, 9626, 43945
1397, 14277, 44279
1398, 18751, 45020
1399, 23017, 47122
1400, 25328, 47706
1401, 26267, 50415
1402, 24699, 51944
1403, 20315, 54309
1404, 12161, 54343
1405, 181, 51882
1406, -14389, 43924
1407, -26911, 32366
1408, -34379, 21551
1409, -41711, 15266
1410, -46753, 11266
1411, -49837, 9225
1412, -51419, 8916
1413, -50310, 11978
1414, -47166, 18145
1415, -36511, 26790
1416, -18736, 33505
1417, -3962, 34664
1418, 5753, 36641
1419, 11888, 39667
1420, 15243, 43094
1421, 16629, 45820
1422, 13039, 49457
1423, 6973, 51690
1424, -2958, 51328
1425, -16220, 45542
1426, -27823, 36959
1427, -36674, 25342
1428, -44071, 15791
1429, -49192, 7708
1430, -51324, 645
1431, -52459, -5617
1432, -51911, -12181
1433, -48577, -19406
1434, -43002, -26605
1435, -33854, -33009
1436, -23127, -37487
1437, -12916, -39994
1438, -5804, -42374
1439, -940, -44995
1440, 1473, -48139
1441, 1068, -51789
1442, 347, -55328
1443, -2094, -59092
1444, -5826, -61359
1445, -11010, -62130
1446, -17880, -60886
1447, -23399, -56295
1448, -29446, -48517
1449, -35114, -37222
1450, -37883, -22733
1451, -36309, -7687
1452, -35605, 2488
1453, -33246, 10127
1454, -34501, 13857
1455, -36076, 15603
1456, -40736, 16337
1457, -44646, 14493
1458, -49880, 11212
1459, -53907, 7322
1460, -57323, 3965
1461, -60756, 1356
1462, -62307, 779
1463, -62409, 3918
1464, -60289, 9271
1465, -53205, 19280
1466, -40774, 31207
1467, -23906, 39914
1468, -8951, 43203
1469, 1817, 47124
1470, 9019, 49641
1471, 14134, 51292
1472, 17073, 51765
1473, 18501, 52302
1474, 17622, 49339
1475, 13915, 43094
1476, 3877, 30174
1477, -12100, -4714
1478, -2404, -6925
1479, -9454, -21351
1480, -13030, -30194
1481, -14535, -37023
1482, -12087, -40225
1483, -6296, -46606
1484, 2958, -51553
1485, 15101, -49787
1486, 27482, -41165
1487, 36506, -29638
1488, 43713, -19787
1489, 47446, -12346
1490, 49896, -7915
1491, 50880, -5405
1492, 50026, -6325
1493, 48108, -9787
1494, 39810, -16625
1495, 25485, -25770
1496, 9122, -29830
1497, -1314, -32578
1498, -9092, -37534
1499, -14446, -41793
1500, -18919, -46621
1501, -21525, -51490
1502, -23304, -56264
1503, -23550, -60840
1504, -23491, -64867
1505, -21984, -67099
1506, -19929, -66499
1507, -16096, -62824
1508, -10509, -55768
1509, -2455, -43637
1510, 8284, -25627
1511, 13624, 288
1512, 5083, 6276
1513, 9831, 17444
1514, 13263, 28360
1515, 13536, 35249
1516, 11105, 37604
1517, 7479, 40587
1518, 1605, 46281
1519, -7547, 48921
1520, -18133, 46052
1521, -28392, 38533
1522, -36792, 29228
1523, -43095, 20140
1524, -47482, 12722
1525, -50306, 7116
1526, -52082, 3118
1527, -53460, 408
1528, -53442, -194
1529, -53448, 772
1530, -50351, 4057
1531, -48006, 8165
1532, -44214, 11643
1533, -42112, 15434
1534, -42473, 17483
1535, -43028, 18673
1536, -46672, 19072
1537, -50670, 18320
1538, -55155, 16992
1539, -59212, 15146
1540, -62650, 13829
1541, -63779, 11885
1542, -63115, 10394
1543, -58706, 8623
1544, -48823, 6417
1545, -31004, 2119
1546, 11541, -6587
1547, 6198, 1068
1548, 22644, -2362
1549, 34097, -5834
1550, 39394, -8884
1551, 41357, -9478
1552, 45845, -10276
1553, 48464, -12391
1554, 41713, -15103
1555, 24748, -16125
1556, -13926, -5660
1557, -11052, -1141
1558, -24681, 1867
1559, -35194, 6525
1560, -41728, 11130
1561, -45221, 14094
1562, -50354, 17229
1563, -57461, 20958
1564, -61281, 23566
1565, -61568, 25848
1566, -60483, 25097
1567, -57027, 21687
1568, -52513, 16473
1569, -48010, 6777
1570, -40616, -1781
1571, -35604, -10961
1572, -30719, -18662
1573, -27686, -26861
1574, -24692, -32296
1575, -21207, -37032
1576, -17027, -41198
1577, -11903, -45104
1578, -5184, -47674
1579, 2404, -49285
1580, 11038, -48145
1581, 18886, -44898
1582, 27545, -40147
1583, 34536, -33875
1584, 41205, -25794
1585, 45795, -16730
1586, 48336, -7576
1587, 49985, 2491
1588, 49494, 12018
1589, 48267, 21656
1590, 45236, 30097
1591, 41152, 38536
1592, 34807, 45764
1593, 26518, 50984
1594, 15920, 54542
1595, 2542, 54572
1596, -11821, 51103
1597, -24878, 43961
1598, -36037, 34561
1599, -44334, 25154
1600, -50337, 17838
1601, -54140, 12323
1602, -55662, 8533
1603, -55518, 5926
1604, -51876, 5637
1605, -43905, 7318
1606, -27596, 12528
1607, 8634, 11210
1608, 7720, 3766
1609, 21981, 5404
1610, 34617, 3070
1611, 41695, -2769
1612, 44054, -9360
1613, 44522, -18632
1614, 42532, -30698
1615, 35137, -44051
1616, 21275, -54048
1617, 7865, -59957
1618, -3919, -62948
1619, -14005, -62874
1620, -22223, -60448
1621, -28612, -55064
1622, -33498, -45028
1623, -36791, -22614
1624, -22026, 15385
1625, -1349, 15681
1626, 2825, 26199
1627, 10191, 41094
1628, 16543, 46006
1629, 18459, 46485
1630, 20350, 47162
1631, 22352, 46572
1632, 21703, 38700
1633, 25315, -1706
1634, -3261, -9177
1635, -5884, -21469
1636, -10595, -34870
1637, -15683, -40965
1638, -15277, -43705
1639, -15731, -46736
1640, -13336, -48561
1641, -4574, -45364
1642, 17427, -19254
1643, 5890, 6016
1644, 7047, 15206
1645, 13455, 32111
1646, 15191, 42716
1647, 12144, 46247
1648, 6424, 49383
1649, -2729, 53237
1650, -16765, 52896
1651, -31812, 41976
1652, -41776, 26885
1653, -47389, 14192
1654, -50699, 5920
1655, -52638, 2404
1656, -53761, 1849
1657, -52277, 5439
1658, -46460, 14573
1659, -33404, 24722
1660, -14952, 32439
1661, -1235, 34755
1662, 6680, 39469
1663, 13321, 43930
1664, 18157, 46843
1665, 20648, 49119
1666, 21465, 52367
1667, 20444, 55107
1668, 18698, 56348
1669, 16807, 56438
1670, 12923, 54049
1671, 10786, 51322
1672, 9100, 48250
1673, 8988, 45770
1674, 10130, 44474
1675, 13058, 44932
1676, 15264, 46187
1677, 17397, 47706
1678, 19213, 49128
1679, 19658, 50587
1680, 18986, 51928
1681, 16009, 52681
1682, 11173, 52191
1683, 3455, 49693
1684, -6980, 45178
1685, -17075, 36290
1686, -26106, 28245
1687, -33033, 20865
1688, -38577, 15458
1689, -42668, 11543
1690, -46356, 8647
1691, -49644, 6798
1692, -52850, 5374
1693, -54886, 5362
1694, -55807, 5677
1695, -54404, 7499
1696, -53080, 9389
1697, -51675, 12746
1698, -49009, 15031
1699, -48075, 17071
1700, -45914, 18489
1701, -45710, 19658
1702, -46758, 19899
1703, -47927, 19701
1704, -49169, 18583
1705, -50572, 16843
1706, -51426, 14637
1707, -51817, 11100
1708, -51811, 6892
1709, -50057, 1347
1710, -46730, -6303
1711, -40769, -13854
1712, -33250, -21862
1713, -24283, -27413
1714, -16967, -33104
1715, -11117, -37600
1716, -7467, -42174
1717, -4611, -46487
1718, -3028, -50917
1719, -2600, -55811
1720, -1606, -60096
1721, -3489, -63659
1722, -6009, -65031
1723, -10342, -64413
1724, -16316, -62046
1725, -23044, -54928
1726, -29806, -43882
1727, -35971, -27553
1728, -37217, -10742
1729, -34932, 2162
1730, -34967, 9617
1731, -35715, 14106
1732, -37481, 16650
1733, -41483, 15533
1734, -45403, 11841
1735, -47333, 4722
1736, -47292, -5207
1737, -45698, -16077
1738, -41241, -27238
1739, -35310, -36972
1740, -28646, -44965
1741, -19739, -50342
1742, -9836, -53323
1743, 1762, -53916
1744, 14508, -50521
1745, 26691, -43199
1746, 36041, -33547
1747, 42824, -23547
1748, 47903, -16642
1749, 50525, -10459
1750, 51165, -7825
1751, 50428, -7610
1752, 47720, -11566
1753, 40795, -18262
1754, 26879, -27371
1755, 11599, -31630
1756, 1164, -33573
1757, -5774, -38338
1758, -11391, -42078
1759, -14040, -44854
1760, -14033, -47840
1761, -12519, -50245
1762, -6593, -51640
1763, 3827, -49110
1764, 15724, -40777
1765, 26001, -29570
1766, 33920, -18885
1767, 40523, -11795
1768, 46166, -6586
1769, 50873, -2793
1770, 54164, 180
1771, 57266, 2167
1772, 61219, 2865
1773, 62819, 1976
1774, 63375, -803
1775, 61095, -6091
1776, 56007, -11934
1777, 49294, -20852
1778, 40711, -28294
1779, 30388, -34697
1780, 21611, -38897
1781, 14129, -42512
1782, 8116, -45980
1783, 1394, -48536
1784, -4289, -49808
1785, -11115, -50738
1786, -18201, -48565
1787, -26123, -43891
1788, -34394, -35909
1789, -40474, -24219
1790, -43392, -11650
1791, -45810, -992
1792, -45291, 7922
1793, -46069, 14429
1794, -46095, 18859
1795, -48020, 21196
1796, -47972, 21937
1797, -49538, 19644
1798, -49792, 16363
1799, -49753, 12743
1800, -50055, 8866
1801, -49116, 6397
1802, -49524, 6252
1803, -48424, 7243
1804, -48664, 10382
1805, -48980, 14835
1806, -49217, 19572
1807, -49840, 24117
1808, -49692, 27256
1809, -50493, 28756
1810, -51515, 26563
1811, -52438, 22007
1812, -52183, 12591
1813, -49073, -426
1814, -42234, -15394
1815, -33686, -27311
1816, -26789, -37143
1817, -21741, -45515
1818, -18362, -50329
1819, -14781, -53502
1820, -11336, -54847
1821, -7352, -53754
1822, -3070, -46803
1823, 3654, -32858
1824, 14580, 4393
1825, 1396, 6045
1826, 5546, 22718
1827, 8505, 34004
1828, 10576, 41381
1829, 10617, 41864
1830, 10589, 44982
1831, 10719, 47774
1832, 10028, 43319
1833, 8188, 30065
1834, -3048, -13868
1835, 809, -3891
1836, -1422, -19991
1837, -6741, -33006
1838, -10356, -40859
1839, -11386, -44688
1840, -13439, -52169
1841, -16710, -62197
1842, -19124, -65906
1843, -21175, -67142
1844, -22131, -65883
1845, -20788, -61753
1846, -16905, -54704
1847, -9408, -47040
1848, -188, -36436
1849, 9058, -24577
1850, 16199, -16777
1851, 21629, -13002
1852, 28465, -11559
1853, 34440, -11788
1854, 38856, -12425
1855, 44134, -12970
1856, 48661, -14214
1857, 52192, -15517
1858, 54632, -16575
1859, 55248, -17414
1860, 54814, -17969
1861, 54226, -17879
1862, 52065, -16219
1863, 49582, -13397
1864, 47289, -8726
1865, 44997, -2563
1866, 42305, 3872
1867, 39980, 11521
1868, 36610, 19463
1869, 33170, 26903
1870, 28383, 34298
1871, 21674, 40317
1872, 14124, 45791
1873, 5115, 49525
1874, -5752, 51269
1875, -16721, 50546
1876, -27322, 47852
1877, -37433, 42875
1878, -46005, 35048
1879, -52289, 26492
1880, -56614, 16253
1881, -56854, 4979
1882, -53858, -7160
1883, -47291, -20523
1884, -36182, -30923
1885, -24924, -36717
1886, -14772, -41464
1887, -8642, -43851
1888, -4899, -45563
1889, -5189, -45974
1890, -9176, -45892
1891, -16731, -42202
1892, -26273, -35427
1893, -35673, -26595
1894, -42619, -17566
1895, -48519, -9464
1896, -52862, -2164
1897, -54606, 4858
1898, -55396, 11277
1899, -53009, 19030
1900, -44227, 27307
1901, -28301, 34628
1902, -709, 33617
1903, 16860, 18408
1904, 23220, 9500
1905, 34565, 3659
1906, 41797, -3862
1907, 44841, -13190
1908, 44647, -22440
1909, 42334, -33883
1910, 37100, -45421
1911, 27204, -54664
1912, 13578, -61023
1913, -357, -62615
1914, -12408, -61651
1915, -22750, -58470
1916, -30486, -51119
1917, -35606, -39732
1918, -37988, -23172
1919, -32476, 291
1920, -11670, 18487
1921, -1153, 19551
1922, 4748, 29314
1923, 11740, 36375
1924, 17639, 40043
1925, 21668, 40159
1926, 26113, 42521
1927, 32275, 41826
1928, 37770, 37016
1929, 40953, 25059
1930, 40679, 10564
1931, 38518, -1935
1932, 37656, -11069
1933, 38092, -17302
1934, 41713, -20399
1935, 45839, -22960
1936, 50803, -22709
1937, 55734, -22036
1938, 60486, -19800
1939, 63723, -17880
1940, 64966, -15148
1941, 64517, -12335
1942, 59786, -9585
1943, 49736, -6692
1944, 32366, -2535
1945, 5879, 15024
1946, -1786, -208
1947, -10979, 1306
1948, -25267, 4913
1949, -36246, 8417
1950, -39686, 10361
1951, -42105, 12959
1952, -44682, 16369
1953, -45445, 22787
1954, -40162, 29279
1955, -30196, 35741
1956, -15048, 39675
1957, -2252, 41086
1958, 7401, 41652
1959, 15214, 43277
1960, 20595, 46006
1961, 24670, 48215
1962, 27161, 52523
1963, 27585, 56134
1964, 27300, 60451
1965, 25044, 63128
1966, 21667, 64361
1967, 16771, 63074
1968, 9500, 58852
1969, -1401, 47987
1970, -13851, 30388
1971, -19638, 5344
1972, -13360, -7712
1973, -14040, -16826
1974, -15801, -27242
1975, -14168, -35780
1976, -9988, -40268
1977, -4169, -43791
1978, 3379, -47237
1979, 13246, -48452
1980, 24321, -45687
1981, 34189, -39335
1982, 41366, -30816
1983, 46643, -21419
1984, 49204, -13967
1985, 49820, -7208
1986, 47831, -857
1987, 43287, 3318
1988, 36294, 8063
1989, 23972, 12637
1990, 4477, 15352
1991, -6558, 4337
1992, -10653, 2808
1993, -25749, 4904
1994, -37586, 5870
1995, -43988, 7368
1996, -49492, 8288
